Minion/Game,KDA,Death/Lose,Damage to Champion,GoldSpent/Assist,Minions/Assist,Wards Placed,DamageChampion/Kill,Kill/Game,WardsPlaced/Game,Kill/Win,Minions/Kill,WardsPlaced/Win,GoldSpent/Kill,Deaths,Wards/Assist,Assist/Win,Gold Earned,Wins,GoldEarned/Game,Win/Game,Minion/Win,Kills,Assist/Game,DamageChampion/Win,DamageChampion/Assist,Role,DamageChampion/Game,Assists,Games,Damage Taken,Gold Spent,DamageTaken/Lose,Minions Killed,Wards/Kill,DamageTaken/Death,Death/Game,GoldSpent/Game,GoldSpent/Win,Champion Name,Loses
" 161,698905754"," 3,112506321"," 8,206085754",35574236," 1003,023715415"," 16,61141531",31327," 3802,291150064"," 3,302506177"," 11,057889163"," 6,745493872"," 48,962483968"," 22,586157174"," 2956,432770415",11866," 1,135982884"," 19,882480173",30223656,1387," 10668,427815037"," 0,48958701"," 330,276135544",9356," 9,734204024"," 25648,331651045"," 1289,996591362",JUNGLE," 12557,090010589",27577,2833,69492743,27660385," 48058,605117566",458093," 3,348332621"," 5856,459042643"," 4,188492764"," 9763,637486763"," 19942,599134823",Shen,1446
" 76,533640553"," 2,675636514"," 8,799635701",17983785," 1878,665219994"," 12,427267285",10763," 2880,170563741"," 5,75483871"," 9,919815668"," 11,649253731"," 13,299007047"," 20,080223881"," 2010,448590647",4831," 1,610745286"," 12,46641791",13696408,536," 12623,417511521"," 0,494009217"," 154,923507463",6244," 6,158525346"," 33551,837686567"," 2691,377581562",JUNGLE," 16574,917050691",6682,1085,33742450,12553241," 61461,657559199",83039," 1,723734785"," 6984,568412337"," 4,452534562"," 11569,807373272"," 23420,225746269",Shyvana,549
" 218,527334852"," 2,178064516"," 11,683417085",16394786," 1392,263172805"," 27,176628895",10167," 5343,802477184"," 3,494305239"," 11,579726651"," 6,391666667"," 62,538135593"," 21,18125"," 3203,838983051",4650," 1,440084986"," 14,708333333",10475348,480," 11930,920273349"," 0,546697039"," 399,722916667",3068," 8,041002278"," 34155,804166667"," 2322,207648725",JUNGLE," 18672,876993166",7060,878,28765945,9829378," 72276,243718593",191867," 3,313885267"," 6186,224731183"," 5,296127563"," 11195,191343964"," 20477,870833333",Singed,398
" 163,497104247"," 2,294409301"," 11,291505792",17513692," 1181,378984392"," 18,617608266",12482," 4052,219342897"," 4,171814672"," 12,048262548"," 8,343629344"," 39,19088385"," 24,096525097"," 2486,8546969",5849," 1,371949879"," 17,563706564",11661176,518," 11255,961389961"," 0,5"," 326,994208494",4322," 8,781853282"," 33810,216216216"," 1925,004616399",JUNGLE," 16905,108108108",9098,1036,31447491,10748186," 60709,442084942",169383," 2,888014808"," 5376,558557018"," 5,645752896"," 10374,696911197"," 20749,393822394",Sion,518
" 221,382937212"," 2,553131971"," 9,996814159",112511822," 1485,687940834"," 28,490880869",56613," 3976,525835866"," 5,018446258"," 10,041326712"," 10,058300747"," 44,11384039"," 20,125488802"," 2300,364140807",28241," 1,292268712"," 15,573764664",71280328,2813," 12642,839304718"," 0,498935793"," 443,710273729",28294," 7,77030862"," 39997,092783505"," 2568,23533977",ADC," 19955,981199007",43809,5638,96546014,65086503," 34175,580176991",1248157," 2,00088358"," 3418,647144223"," 5,009045761"," 11544,253813409"," 23137,754354781",Sivir,2825
" 45,495454545"," 2,928077455"," 8,658682635",7445863," 1148,419755245"," 5,249475524",6382," 2709,55713246"," 4,163636364"," 9,66969697"," 8,429447853"," 10,926855895"," 19,576687117"," 2390,451601164",2892," 1,115734266"," 17,54601227",7213107,326," 10928,95"," 0,493939394"," 92,107361963",2748," 8,666666667"," 22840,070552147"," 1301,724300699",JUNGLE," 11281,610606061",5720,660,17324427,6568961," 51869,541916168",30027," 2,322416303"," 5990,465767635"," 4,381818182"," 9952,971212121"," 20150,187116564",Skarner,334
" 28,275467775"," 2,955975475"," 11,079064588",21478474," 660,243348633"," 2,209756692",46354," 4484,023799582"," 2,48960499"," 24,092515593"," 4,668615984"," 11,357411273"," 45,179337232"," 3393,430271399",9949," 1,882854706"," 23,995126706",18202597,1026," 9460,809251559"," 0,533264033"," 53,023391813",4790," 12,795738046"," 20934,185185185"," 872,434867379",SUPPORT," 11163,448024948",24619,1924,32408342,16254531," 36089,467706013",54402," 9,677244259"," 3257,447180621"," 5,170997921"," 8448,300935551"," 15842,622807018",Sona,898
" 14,873482273"," 3,007403189"," 9,840040754",18848338," 567,525595732"," 1,104023216",100494," 7213,294297742"," 0,634531326"," 24,403593978"," 1,212529002"," 23,440107157"," 46,632946636"," 12049,439341753",19316," 1,811420743"," 25,743851508",35145024,2155," 8534,488586693"," 0,523312288"," 28,421809745",2613," 13,472073822"," 8746,328538283"," 339,744367137",SUPPORT," 4577,061194755",55478,4118,52467269,31485185," 26728,104431992",61249," 38,45924225"," 2716,259525782"," 4,690626518"," 7645,74672171"," 14610,294663573",Soraka,1963
" 183,05"," 2,232040355"," 10,302867384",24260738," 1469,029549186"," 25,889127415",12355," 4938,070018319"," 4,386607143"," 11,03125"," 8,741992883"," 41,72928964"," 21,983985765"," 2367,84958274",5749," 1,560171739"," 14,090747331",12655550,562," 11299,598214286"," 0,501785714"," 364,797153025",4913," 7,070535714"," 43168,572953737"," 3063,61131456",MIDDLE," 21661,373214286",7919,1120,33843530,11633245," 60651,487455197",205016," 2,514756768"," 5886,855105236"," 5,133035714"," 10386,825892857"," 20699,724199288",Swain,558
" 198,572402597"," 2,253696177"," 11,265428003",66399110," 1859,284662444"," 33,111526176",34854," 3355,18494189"," 6,425324675"," 11,316233766"," 12,581055308"," 30,904648813"," 22,157660521"," 1735,363668519",16977," 1,886957934"," 11,742530197",37589493,1573," 12204,380844156"," 0,510714286"," 388,813095995",19790," 5,997077922"," 42211,767323586"," 3594,776135564",MIDDLE," 21558,152597403",18471,3080,51309211,34342847," 34047,253483743",611603," 1,761192521"," 3022,277846498"," 5,512012987"," 11150,275"," 21832,706293706",Syndra,1507
